Hostname,OSName,Filesystem,Total (GB),Used (GB),Available (GB),Used%,Free Utilization%
instance-1,CentOS Linux release 7.9.2009 ,/dev,1.9,0,1.9,0,100
instance-2,CentOS Linux release 7.9.2009 ,/dev/shm,1.9,0,1.9,0,100
instance-3,CentOS Linux release 7.9.2009 ,/run,1.9,0,1.9,1,99
instance-4,CentOS Linux release 7.9.2009 ,/sys/fs/cgroup,1.9,0,1.9,0,100
instance-5,CentOS Linux release 7.9.2009 ,/,20,2.4,18,13,87
instance-6,CentOS Linux release 7.9.2009 ,/boot/efi,0.19,0.01,0.18,6,94
instance-7,CentOS Linux release 7.9.2009 ,/run/user/1000,0.37,0,0.37,0,100
